경기도	대한민국	country	 << _sbj_ >> 는  << _obj_ >> 의 서북부에 있는 도이다.
일리노이_주	미국	country	 << _sbj_ >> 는  << _obj_ >>  중서부의 주이다.
일리노이_주	미국	country	 << _sbj_ >> 는 현직  << _obj_ >>  대통령인 버락 오바마의 정치적 기반이 되는 주이다.
A.P._몰러-머스크_그룹	덴마크	country	 << _sbj_ >> 은 A.P. 몰러가 1904년에 설립한  << _obj_ >> 의 복합 기업이다.
뉴저지_주	미국	country	 << _sbj_ >> 는  << _obj_ >> 에서 네 번째로 면적이 작고, 인구밀도가 가장 높은 주이다.
경상남도	대한민국	country	 << _sbj_ >> 는  << _obj_ >>  남동쪽에 있는 도이다.
창원시	대한민국	country	 << _sbj_ >> 는  << _obj_ >> 의 경상남도 중남부에 있는 시이자 경상남도청 소재지이다.
매사추세츠_주	미국	country	 << _sbj_ >> 는  << _obj_ >>  북동부 뉴잉글랜드 지방에 있는 주이다.
센트럴_리그	일본	country	 << _sbj_ >> 는  << _obj_ >> 에서 운영되고 있는 두 개의 프로 야구 상위 리그 가운데 하나이다.
센트럴_리그	일본	country	정식 명칭은  << _obj_ >>  프로 야구 조직  << _sbj_ >>  운영부이며 또는 약칭 세 리그라고 불린다.
리스본	포르투갈	country	 << _sbj_ >> 은  << _obj_ >> 의 수도이다.
리스본	포르투갈	country	유럽 연합의 유럽 마약 감시 센터 와 유럽 해양 환경청 ,  << _obj_ >> 어 사용국 공동체의 본부가  << _sbj_ >> 에 있다.
부다페스트	헝가리	country	 << _sbj_ >> 는  << _obj_ >> 의 수도이자 정치·산업·상업·교통·문화의 중심지이다.
이와타_미노루	한신_타이거스	team	 << _sbj_ >> 는 일본의 프로 야구 선수이며, 현재 센트럴 리그인  << _obj_ >> 의 소속 선수이다.
닛폰_TV_방송망	일본	country	 << _sbj_ >>  주식회사는 1952년에 설립된 간토 광역권을 대상으로 방송하는  << _obj_ >> 의 민영방송사이다.
캘리포니아_주	미국	country	 << _sbj_ >> 는  << _obj_ >>  서부 해안선의 반 정도를 차지하는 주로, 현재 미국에서 가장 인구가 많은 주이다.
밴나이즈	미국	country	 << _sbj_ >> 는  << _obj_ >>  로스앤젤레스의 지구로, 인구는 136,443명이다.
V-리그_(대한민국)	대한민국	country	 << _sbj_ >> 는  << _obj_ >> 의 배구 리그이다.
아그리젠토_현	이탈리아	country	 << _sbj_ >> 은  << _obj_ >>  시칠리아 주의 현이다.
안동시	대한민국	country	 << _sbj_ >> 는  << _obj_ >>  경상북도 중북부에 있는 시이다.
예천군	대한민국	country	 << _sbj_ >> 은  << _obj_ >>  경상북도 서북부에 있는 군이다.
경상북도	대한민국	country	 << _sbj_ >> 는  << _obj_ >>  동남부에 있는 도이다.
오스텐더	벨기에	country	 << _sbj_ >> 는 북해에 면한  << _obj_ >> 의 항구 도시이다.
청주시	대한민국	country	 << _sbj_ >> 는  << _obj_ >>  충청북도 중서부에 있는 시이자 충청북도청 소재지이다.
충청북도	대한민국	country	 << _sbj_ >> 는  << _obj_ >> 의 중앙부에 위치하는 도이다.
스즈키_다이치	지바_롯데_마린스	team	 << _sbj_ >> 는 일본의 프로 야구 선수이며, 현재 퍼시픽 리그인  << _obj_ >> 의 소속 선수이다.
폰타델가다	포르투갈	country	 << _sbj_ >>  북대서양의  << _obj_ >> 령 아소르스 제도의 상미겔 섬에 있는 도시이다.
서울특별시	대한민국	country	 << _sbj_ >> 는 한반도 중부에 위치한  << _obj_ >> 의 최대 도시이자 수도이다.
